date,time,lat,lon,cog,sog,log,wind,pressure,battery,sail,diesel_1,diesel_2,water_1,water_2,observation
6/5,18:00,"32°58.2'N","045°50.2'W",062,4.7,1788,NE6,1025,"68%",E,65,78,89,66,"Big waves, calm wind & Disney cruise spotted :)"
6/5,21:00,"33°02.6'N","045°39.3'W",070,6.2,1794,E13,1026,58,MGE,62,80,100,63,"Thinking about what course to take"
7/5,02:30,"33°14.3'N","045°23.6'W",022,6.9,1830,SE14,1026,48,MG,60,80,100,68,"WE HAVE WIND AGAIN!!! WE'RE SAILING BABY!"
7/5,03:00,"33°45.4'N","045°22.4'W",017,6.2,1833,E13,1025,48,MG,62,79,100,72,"Big waves and a rainy night, good winds though!"
7/5,06:00,"33°59.7'N","045°06.4'W",014,6.8,1852,,1025,46,MG,59,77,108,72,"Fucking night, very wavy"
7/5,09:04,"34°18.7'N","044°55.4'W",032,8.0,1875,E20,1025,"42%",MG,62,78,100,68,"Wind 23/28kts, max speed 12.9, Azores here we come!!!"
7/5,12:08,"34°37.8'N","044°40.6'W",040,6.0,1897,ESE24,1025,62,MG,58,73,100,66,"Authentic Atlantic, clean motor not working (pt2, 2x reefing)"
7/5,15:00,"34°53.1'N","044°24.7'W",028,6.9,1917,SE20,1026,87,MG,56,77,100,66,""
7/5,21:00,"35°23.1'N","043°57.1'W",038,7.1,1978,SSE11,1027,89,MG,57,77,100,61,"All the people on watch died very wavy, it was rough"
8/5,00:04,"35°37.6'N","043°36.1'W",055,6.4,1978,SSE14,1027,"84%",MG,60,77,84,56,"Wind drops to 14kts, still wavy conditions & super cloudy sky"
8/5,03:04,"35°46.5'N","043°17.3'W",069,5.7,1995,SE14,1027,"79%",MG,60,77,85,55,"Great sailing"
8/5,06:00,"35°57.8'N","042°57.7'W",058,6.9,2015,SE17,1027,74,MG,57,77,89,57,"A bit calmer but the moon showed again"
8/5,10:52,"36°13.8'N","042°31.2'W",057,6.7,2042,SE13,1027,66,MG,57,77,89,57,"We were followed by a little atl-sea swallow for a bit!"
8/5,13:23,"36°22.3'N","042°15.0'W",059,7.2,2058,SE13,1027,61,MG,59,78,80,37,"We saw dolphins and four dolphins jumped away! (we made amazing food)"
8/5,15:03,"36°28.2'N","042°03.7'W",069,6.0,2069,SE12,1027,"57%",MG,57,77,72,31,"Light wind and very cloudy conditions"
8/5,18:55,"36°36.5'N","041°45.8'W",057,4.9,2085,SE9,1028,68,MGE,57,77,67,50,"Nice sailing, nice lunch, happy crew"
8/5,21:00,"36°44.6'N","041°30.3'W",056,5.7,2100,SSE7,1028,66,MGE,55,76,66,83,"Just a lovely evening... dolphins, movie, some writing..."
9/5,00:28,"36°55.7'N","041°08.7'W",058,5.3,2121,SE8,1028,59,MGE,52,76,61,82,"Calm evening. We shared some hummus on the flybridge, lit candles and all"
9/5,03:00,"37°02.2'N","040°55.0'W",057,5.1,2133,SE8,1030,57,MGE,44,73,51,80,"Super chill"
